n_elements,mean_atomic_number,std_atomic_number,range_atomic_number,mean_electronegativity,std_electronegativity,range_electronegativity,mean_atomic_radius,std_atomic_radius,range_atomic_radius,frac_H,frac_Li,frac_C,frac_N,frac_O,frac_F,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_K,frac_Ca,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Zn,frac_Ga,frac_As,frac_Br,frac_Sr,frac_Nb,frac_Mo,e_form_per_atom,reduced_formula
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5317660891666662,TmGe2Os
4,27.249999999999996,1.299038105676658,3.0,1.82,0.1558845726811989,0.3599999999999999,1.5199999999999998,0.05196152422706637,0.1200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3859262450000003,ZrScMnNi3
4,13.5,12.146428046372906,47.0,2.595,1.0044739205887117,2.46,0.9828571428571429,0.5838104948333415,1.23,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4337090296428565,Li2V3SnO8
3,7.0,2.8284271247461903,6.0,2.98,1.4142135623730951,3.0,0.8366666666666666,0.5892556509887895,1.25,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.551821656845,LiTmF2
4,49.23076923076923,31.39366385399313,66.0,2.709230769230769,0.4905642205031568,1.08,1.4030769230769227,0.6738566911715623,1.45,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2142555180875001,Yb2W8(SO4)3
3,19.111111111111114,20.78698548207745,50.0,2.9244444444444446,0.9645161263683938,2.32,0.8955555555555555,0.7774332570296967,1.87,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8690785071590903,Ce2Y2O7
2,13.333333333333332,7.542472332656507,16.0,2.8466666666666662,0.8391000470080363,1.78,0.8733333333333332,0.5562573345334173,1.18,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0552389575000007,CrO2
5,9.666666666666668,4.307615994440028,13.0,2.7155555555555555,1.0494137105081431,2.62,0.9155555555555555,0.7497201123843352,1.9500000000000002,0.0,0.0,0.15789473684210525,0.0,0.5789473684210527,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4711759896842103,K3NaUC3O11
3,34.0,22.0,44.0,1.1,0.21000000000000002,0.42000000000000004,1.9899999999999998,0.5399999999999999,1.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1677681275,BaMgTl2
4,12.142857142857142,7.92696251371719,23.0,2.565,0.9367782936365313,2.46,0.9528571428571428,0.5141626836966317,1.19,0.0,0.14285714285714285,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.49376713113354,Li2Fe3(P2O7)2
